#TYPE Microsoft.Management.Infrastructure.CimInstance#ROOT/StandardCimv2/MSFT_NetTCPConnection
"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Bound",,"InHost",,,,"::++59755++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:02:28 PM","::","59755","1372","::","0",
"Listen",,"InHost",,,,"::++61229++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:37 PM","::","61229","784","::","0",
"Listen",,"InHost",,,,"::1++49669++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:27 PM","::1","49669","4840","::","0",
"Listen",,"InHost",,,,"::++49668++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:27 PM","::","49668","4152","::","0",
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:26 PM","::","49667","2492","::","0",
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:26 PM","::","49666","904","::","0",
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:26 PM","::","49665","980","::","0",
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:26 PM","::","49664","884","::","0",
"Listen",,"InHost",,,,"::++445++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:28 PM","::","445","4","::","0",
"Listen",,"InHost",,,,"::++135++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:26 PM","::","135","1348","::","0",
"Bound",,"InHost",,,,"0.0.0.0++61348++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:47 PM","0.0.0.0","61348","15236","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++61346++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:47 PM","0.0.0.0","61346","15236","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++61331++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:46 PM","0.0.0.0","61331","15236","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++61328++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:46 PM","0.0.0.0","61328","15236","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++61296++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:44 PM","0.0.0.0","61296","15236","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60740++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 11:43:32 PM","0.0.0.0","60740","15236","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60739++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 11:43:32 PM","0.0.0.0","60739","15236","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60520++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:19:09 PM","0.0.0.0","60520","18660","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60519++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:19:07 PM","0.0.0.0","60519","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60518++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:19:00 PM","0.0.0.0","60518","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60515++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:18:14 PM","0.0.0.0","60515","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60509++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:16:39 PM","0.0.0.0","60509","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60488++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:12:43 PM","0.0.0.0","60488","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60482++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:12:36 PM","0.0.0.0","60482","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60464++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:10:49 PM","0.0.0.0","60464","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60392++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:02:39 PM","0.0.0.0","60392","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60376++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:01:33 PM","0.0.0.0","60376","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60364++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:59:03 PM","0.0.0.0","60364","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60359++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:58:59 PM","0.0.0.0","60359","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60262++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:57:45 PM","0.0.0.0","60262","18400","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60231++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:52 PM","0.0.0.0","60231","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60230++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:52 PM","0.0.0.0","60230","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60229++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:52 PM","0.0.0.0","60229","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60228++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:51 PM","0.0.0.0","60228","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60226++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:46 PM","0.0.0.0","60226","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60225++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60225","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60224++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60224","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60223++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60223","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60222++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60222","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60221++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60221","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60220++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60220","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60219++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60219","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60218++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60218","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60217++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60217","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60216++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60216","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60215++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","0.0.0.0","60215","20444","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++60201++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:54:00 PM","0.0.0.0","60201","15236","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++59612++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:59:03 PM","0.0.0.0","59612","4292","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++59525++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:58:29 PM","0.0.0.0","59525","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++59482++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:58:22 PM","0.0.0.0","59482","4292","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++59463++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:58:20 PM","0.0.0.0","59463","20672","0.0.0.0","0",
